Date,FSHBB,M,r_FSHBB,r_M,Rf,r_FSHBB - Rf,r_M- Rf
2010-09-06,23.93,75.08,,,,,
2010-09-13,24.24,75.95,0.012977022,0.011521017,2.69231E-05,0.012950099,0.011494094
2010-09-20,24.50,77.33,0.010517211,0.01800675,2.88462E-05,0.010488365,0.017977903
2010-09-27,24.64,77.16,0.005606134,-0.002200791,3.07692E-05,0.005575364,-0.00223156
2010-10-04,25.07,78.38,0.017479794,0.015687605,3.07692E-05,0.017449025,0.015656836
2010-10-11,25.19,78.77,0.004760608,0.004963421,0.000025,0.004735608,0.004938421
2010-10-18,25.32,79.2,0.005234728,0.005444085,2.69231E-05,0.005207805,0.005417162
2010-10-25,25.34,79.18,0.00049714,-0.000252557,2.69231E-05,0.000470217,-0.00027948
2010-11-01,26.04,81.35,0.027211181,0.027037092,0.000025,0.027186181,0.027012092
2010-11-08,25.56,79.77,-0.018550434,-0.01961334,0.000025,-0.018575434,-0.01963834
2010-11-15,25.60,79.81,0.001723052,0.000501316,0.000025,0.001698052,0.000476316
2010-11-22,25.34,78.99,-0.010135104,-0.010327548,2.69231E-05,-0.010162027,-0.010354471
2010-11-29,26.08,81.2,0.028653667,0.027593985,3.07692E-05,0.028622897,0.027563216
2010-12-06,26.43,82.24,0.013429797,0.012726555,3.07692E-05,0.013399028,0.012695785
2010-12-13,26.65,82.83,0.008066071,0.007148513,2.69231E-05,0.008039148,0.00712159
2010-12-20,26.58,83.32,-0.002365625,0.005898302,2.69231E-05,-0.002392548,0.005871379
2010-12-27,26.78,83.21,0.007407708,-0.001321083,2.69231E-05,0.007380785,-0.001348007
2011-01-03,26.92,83.56,0.005197555,0.004197404,2.69231E-05,0.005170632,0.004170481
2011-01-10,27.14,84.24,0.007979152,0.008104931,2.69231E-05,0.007952229,0.008078008
2011-01-17,27.19,84.38,0.002101613,0.001660539,2.88462E-05,0.002072767,0.001631693
2011-01-24,27.07,83.96,-0.004675788,-0.004989912,3.07692E-05,-0.004706557,-0.005020681
2011-01-31,27.63,85.68,0.020413434,0.020278931,3.07692E-05,0.020382665,0.020248162
2011-02-07,27.89,86.4,0.009369931,0.00836825,2.88462E-05,0.009341084,0.008339404
2011-02-14,28.26,87.43,0.013332389,0.011850797,2.69231E-05,0.013305466,0.011823874
2011-02-21,27.92,86.29,-0.012195482,-0.013124757,2.11538E-05,-0.012216636,-0.013145911
2011-02-28,28.04,86.64,0.004308109,0.004047886,0.000025,0.004283109,0.004022886
2011-03-07,27.79,85.77,-0.008862755,-0.010092308,0.000025,-0.008887755,-0.010117308
2011-03-14,27.29,84.22,-0.018197069,-0.018236872,1.92308E-05,-0.018216299,-0.018256103
2011-03-21,27.83,86.44,0.01956543,0.026018109,1.73077E-05,0.019548122,0.026000801
2011-03-28,28.47,87.77,0.022674965,0.015269225,1.73077E-05,0.022657658,0.015251917
2011-04-04,28.54,87.96,0.002689273,0.002162409,1.73077E-05,0.002671965,0.002145101
2011-04-11,28.55,87.93,0.000223742,-0.000341122,9.61538E-06,0.000214127,-0.000350738
2011-04-18,28.80,88.7,0.008688822,0.008718846,1.15385E-05,0.008677283,0.008707307
2011-04-25,29.46,90.75,0.02259152,0.022848584,1.15385E-05,0.022579982,0.022837045
2011-05-02,29.03,89.38,-0.014417331,-0.01521153,1.15385E-05,-0.01442887,-0.015223068
2011-05-09,29.18,89.64,0.004828864,0.002904705,5.76923E-06,0.004823094,0.002898936
2011-05-16,29.18,89.55,0.00000,-0.00100452,5.76923E-06,-5.76923E-06,-0.00101029
2011-05-23,29.02,89.01,-0.005489079,-0.006048406,9.61538E-06,-0.005498694,-0.006058021
2011-05-30,28.39,87.02,-0.021812441,-0.022610746,1.15385E-05,-0.02182398,-0.022622284
2011-06-06,27.94,85.65,-0.016105787,-0.015868753,9.61538E-06,-0.016115402,-0.015878368
2011-06-13,28.17,86.24,0.008198989,0.006864882,9.61538E-06,0.008189373,0.006855267
2011-06-20,27.80,85.65,-0.013012608,-0.006864882,9.61538E-06,-0.013022223,-0.006874498
2011-06-27,29.31,89.66,0.05296641,0.045755514,3.84615E-06,0.052962564,0.045751668
2011-07-04,29.41,89.9,0.003288304,0.002673203,3.84615E-06,0.003284458,0.002669357
2011-07-11,28.96,88.45,-0.015438761,-0.016260521,3.84615E-06,-0.015442607,-0.016264367
2011-07-18,29.31,89.52,0.011930813,0.012024643,3.84615E-06,0.011926967,0.012020797
2011-07-25,28.17,86,-0.039651474,-0.040114768,5.76923E-06,-0.039657243,-0.040120537
2011-08-01,26.64,81.28,-0.055681144,-0.056447312,1.34615E-05,-0.055694605,-0.056460774
2011-08-08,26.28,80.04,-0.013866336,-0.015373474,7.69231E-06,-0.013874028,-0.015381166
2011-08-15,25.68,78.06,-0.022795628,-0.025048748,5.76923E-06,-0.022801397,-0.025054517
