Date,Adj Close,Open,High,Low,,
2010-09-05,75.08,74.06,75.15,73.98,,
2010-09-12,75.95,75.08,76.35,75.08,,
2010-09-19,77.33,75.95,77.39,75.78,,
2010-09-26,77.16,77.33,77.89,76.35,,
2010-10-03,78.38,77.16,78.56,76.29,,
2010-10-10,78.77,78.38,79.4,77.85,,
2010-10-17,79.2,78.77,79.75,77.84,,
2010-10-24,79.18,79.2,79.95,78.28,,
2010-10-31,81.35,79.18,81.38,78.74,,
2010-11-07,79.77,81.35,81.35,79.47,,
2010-11-14,79.81,79.77,80.37,78.28,,
2010-11-21,78.99,79.81,79.81,78.36,,
2010-11-28,81.2,78.99,81.24,77.96,,
2010-12-05,82.24,81.2,82.27,80.94,,
2010-12-12,82.83,82.24,82.91,82.18,,
2010-12-19,83.32,82.83,83.39,82.63,,
2010-12-26,83.21,83.32,83.55,82.95,,
2011-01-02,83.56,83.21,84.02,83.08,,
2011-01-09,84.24,83.56,84.24,82.89,,
2011-01-16,84.38,83.92,84.55,83.62,,
2011-01-23,83.96,84.38,85.38,83.87,,
2011-01-30,85.68,83.96,85.68,83.92,,
2011-02-06,86.4,85.68,86.49,85.6,,
2011-02-13,87.43,86.4,87.43,85.97,,
2011-02-20,86.29,87.12,87.43,85.29,,
2011-02-27,86.64,86.29,87.31,85.6,,
2011-03-06,85.77,86.64,87.09,85.16,,
2011-03-13,84.22,85.77,85.77,82.36,,
2011-03-20,86.44,84.22,86.75,84.22,,
2011-03-27,87.77,86.44,87.96,86.04,,
2011-04-03,87.96,87.77,88.43,87.61,,
2011-04-10,87.93,87.96,88.36,86.46,,
2011-04-17,88.7,87.93,88.79,86.48,,
2011-04-24,90.75,88.7,90.75,88.3,,
2011-05-01,89.38,90.75,91.07,88.66,,
2011-05-08,89.64,89.38,90.47,89.12,,
2011-05-15,89.55,89.64,90.26,88.69,,
2011-05-22,89.01,89.55,89.55,88.09,,
2011-05-29,87.02,88.82,89.92,86.9,,
2011-06-05,85.65,87.02,87.18,85.62,,
2011-06-12,86.24,85.65,87.17,85.3,,
2011-06-19,85.65,86.24,87.69,85.38,,
2011-06-26,89.66,85.65,89.74,85.65,,
2011-07-03,89.9,88.63,90.57,88.47,,
2011-07-10,88.45,89.9,89.9,87.98,,
2011-07-17,89.52,88.45,89.9,87.24,,
2011-07-24,86,89.52,89.52,85.59,,
2011-07-31,81.28,86,86.85,79.29,,
2011-08-07,80.04,81.28,81.28,75.2,,
2011-08-14,78.06,80.04,82.27,77.97,,
2011-08-21,80.86,78.06,81.8,78.06,,
2011-08-28,80.89,80.86,83.94,80.74,,
2011-09-04,79.54,82.54,82.57,78.86,,
2011-09-11,83.19,79.54,83.42,78.37,,
2011-09-18,78.62,83.19,83.58,77.34,,
2011-09-25,79.45,78.62,82.27,78.44,,
2011-10-02,80.75,79.45,81.58,76.11,,
2011-10-09,84.29,80.75,84.29,80.75,,
2011-10-16,85.74,84.29,85.76,82.6,,
2011-10-23,87.56,85.74,88.25,84.52,,
2011-10-30,85.79,86.93,86.94,83.69,,
2011-11-06,86.99,85.79,87.36,84.37,,
2011-11-13,84.44,86.99,86.99,83.81,,
2011-11-20,80.94,84.44,84.44,80.94,,
2011-11-27,86.06,80.94,86.92,80.94,,
2011-12-04,87.05,86.06,87.63,85.59,,
2011-12-11,86,87.05,87.05,85.06,,
2011-12-18,89.37,86,89.38,84.99,,
2011-12-25,88.99,88.54,89.6,88.41,,
2012-01-01,89.46,89.41,90.37,88.92,,
2012-01-08,89.99,89.46,90.56,89.22,,
2012-01-15,91.5,90.31,91.5,89.24,,
2012-01-22,90.84,91.5,92.13,90.47,,
2012-01-29,92.1,90.84,92.17,89.88,,
2012-02-05,91.7,92.1,92.43,91.36,,
2012-02-12,92.87,91.7,92.97,91.36,,
2012-02-19,92.92,92.52,93.14,92.2,,
2012-02-26,93.07,92.92,93.51,92.29,,
2012-03-04,93.14,93.07,93.39,91.7,,
2012-03-11,94.88,93.14,95.15,93.13,,
2012-03-18,94.35,94.88,95.29,93.81,,
2012-03-25,95.26,94.35,95.76,93.9,,
2012-04-01,94.3,95.26,96.02,94.02,,
2012-04-08,92.48,94.3,94.3,91.79,,
2012-04-15,94.05,92.48,94.43,92.48,,
2012-04-22,95.25,94.05,95.43,92.87,,
2012-04-29,93.61,95.25,96.06,93.54,,
2012-05-06,92.73,93.61,93.8,91.98,,
2012-05-13,89.86,92.73,92.73,89.63,,
2012-05-20,90.76,89.86,91.24,89.32,,
2012-05-27,88.48,90.95,91.57,88.43,,
2012-06-03,91.46,88.48,91.46,87.87,,
2012-06-10,93.05,91.46,93.09,90.57,,
2012-06-17,92.48,93.05,94.12,91.85,,
2012-06-24,94.56,92.48,94.56,90.96,,
2012-07-01,94.06,94.56,95.2,93.66,,
2012-07-08,94.64,94.06,94.67,92.75,,
2012-07-15,95.05,94.64,95.89,93.92,,
2012-07-22,96.65,95.05,96.89,92.76,,
2012-07-29,96.9,96.65,97.12,94.7,,
2012-08-05,97.55,96.9,97.55,96.8,,
2012-08-12,97.69,97.55,97.83,96.91,,
2012-08-19,96.92,97.69,98.04,96.11,,
2012-08-26,96.66,96.92,97.2,96.09,,
2012-09-02,98.27,96.27,98.39,96.03,,
2012-09-09,99.55,98.27,100.04,97.88,,
2012-09-16,99.72,99.55,100.16,99.01,,
2012-09-23,98.96,99.72,100.25,98.57,,
2012-09-30,100.53,98.96,100.94,98.96,,
2012-10-07,98.37,100.53,100.53,98.2,,
2012-10-14,99.11,98.37,100.75,98.37,,
2012-10-21,97.72,99.11,99.11,97.11,,
2012-10-28,97.67,97.72,98.96,97.37,,
2012-11-04,95.36,97.67,98.84,94.97,,
2012-11-11,93.61,95.36,95.68,92.61,,
2012-11-18,96.61,93.61,96.61,93.61,,
2012-11-25,97.08,96.61,97.25,95.03,,
2012-12-02,97.48,97.08,97.48,96.05,,
2012-12-09,97.25,97.48,98.75,97.16,,
2012-12-16,97.6,97.25,98.89,97.13,,
2012-12-23,95.62,97.6,97.6,95.57,,
2012-12-30,99.6,95.62,99.67,95.28,,
2013-01-06,99.88,99.6,99.96,98.56,,
2013-01-13,101.18,99.88,101.18,99.65,,
2013-01-20,102.41,100.75,102.41,100.55,,
2013-01-27,103.22,102.41,103.26,101.98,,
2013-02-03,103.38,103.22,103.47,102.17,,
2013-02-10,103.65,103.38,103.87,103.08,,
2013-02-17,104.07,103.59,104.57,103.01,,
2013-02-24,104.38,104.07,104.79,102.41,,
2013-03-03,106.19,104.38,106.3,104.05,,
2013-03-10,106.59,106.19,106.99,105.95,,
2013-03-17,106.82,106.59,106.93,105.52,,
2013-03-24,107.66,106.82,107.75,106.15,,
2013-03-31,107.21,107.66,108.19,106.38,,
2013-04-07,109.51,107.21,109.91,106.77,,
2013-04-14,108.23,109.51,109.51,106.79,,
2013-04-21,109.86,108.23,110.3,107.85,,
2013-04-28,111.08,109.86,111.36,109.45,,
2013-05-05,111.46,111.08,111.71,110.75,,
2013-05-12,114.15,111.46,114.15,110.94,,
2013-05-19,113.07,114.15,115.42,111.96,,
2013-05-26,111.14,113.08,114.59,111.14,,
2013-06-02,112.48,111.14,112.66,109.75,,
2013-06-09,111.82,112.48,112.84,110.63,,
2013-06-16,109.69,111.82,113.59,108.73,,
2013-06-23,110.79,109.69,111.88,107.81,,
2013-06-30,112.04,110.79,112.04,110.34,,
2013-07-07,115.04,112.04,115.1,112.04,,
2013-07-14,115.74,115.04,115.86,114.68,,
2013-07-21,115.67,115.74,116.17,114.58,,
2013-07-28,116.45,115.67,116.45,115.15,,
2013-08-04,115.19,116.45,116.45,114.75,,
2013-08-11,112.21,115.19,115.29,111.92,,
2013-08-18,112.62,112.21,112.72,110.82,,
2013-08-25,110.45,112.62,112.64,110.1,,
2013-09-01,110.94,110.68,111.57,109.9,,
2013-09-08,113.35,110.94,113.4,110.94,,
2013-09-15,114.8,113.35,116.33,113.35,,
2013-09-22,113.37,114.8,114.8,113.08,,
2013-09-29,112.89,113.37,113.47,111.86,,
2013-10-06,114.03,112.89,114.03,110.77,,
2013-10-13,116.52,114.03,116.59,113.33,,
2013-10-20,117.8,116.52,117.8,116.28,,
2013-10-27,118.21,117.8,119,117.57,,
2013-11-03,119.35,118.21,119.59,117.84,,
2013-11-10,120.58,119.35,120.58,118.49,,
2013-11-17,120.91,120.58,120.92,119.43,,
2013-11-24,120.11,120.91,121.1,119.99,,
2013-12-01,120.08,120.11,120.32,118.42,,
2013-12-08,118.05,120.08,120.55,117.79,,
2013-12-15,120.51,118.05,120.84,117.63,,
2013-12-22,122.1,120.51,122.26,120.51,,
2013-12-29,121.14,122.1,122.46,120.87,,
2014-01-05,121.33,121.14,121.68,120.56,,
2014-01-12,121,121.33,121.83,119.94,,
2014-01-19,117.84,121.64,121.64,117.84,,
2014-01-26,117.27,117.84,118.26,116.59,,
2014-02-02,117.39,117.27,117.47,114.32,,
2014-02-09,120.21,117.39,120.41,117.12,,
2014-02-16,119.75,119.35,120.46,119.07,,
2014-02-23,121.05,119.75,121.58,119.75,,
2014-03-02,121.92,121.05,122.12,119.52,,
2014-03-09,120.12,121.92,121.96,119.99,,
2014-03-16,121.98,120.12,123.02,120.12,,
2014-03-23,122.92,121.98,123.3,121.45,,
2014-03-30,123.58,122.92,125.22,122.92,,
2014-04-06,121.1,123.58,124.04,121.05,,
2014-04-13,124.02,121.1,124.28,120.97,,
2014-04-20,124.59,124.02,125.14,123.94,,
2014-04-27,125.63,124.59,126.34,124.54,,
2014-05-04,125.43,125.63,126.09,124.63,,
2014-05-11,125.3,125.43,126.44,124.56,,
2014-05-18,126.19,125.3,126.22,124.45,,
2014-05-25,127.69,126.19,127.73,126.19,,
2014-06-01,129,127.69,129.06,127.31,,
2014-06-08,128.53,129,129.36,127.72,,
2014-06-15,130.49,128.53,130.69,128.23,,
2014-06-22,130.03,130.49,130.64,129,,
2014-06-29,131.06,130.03,131.09,129.79,,
2014-07-06,130.37,131.06,131.07,129.64,,
2014-07-13,131.06,130.37,131.5,129.84,,
2014-07-20,130.95,131.06,131.6,130.19,,
2014-07-27,127.27,130.95,131.59,126.76,,
2014-08-03,127.49,127.27,128.04,125.88,,
2014-08-10,129,127.49,129.6,127.41,,
2014-08-17,130.77,129,131.28,129,,
2014-08-24,131.9,130.77,131.9,130.77,,
2014-08-31,131.94,131.45,131.97,130.86,,
2014-09-07,130.63,131.94,131.94,130.27,,
2014-09-14,132.49,130.63,132.97,130.41,,
2014-09-21,130.66,132.49,132.49,129.64,,
2014-09-28,129.55,130.66,130.79,127.33,,
2014-10-05,126.34,129.55,130.19,126.34,,
