Data,WTB3MS,
2000-01-07,5.26,0.001011538
2000-01-14,5.26,0.001011538
2000-01-21,5.31,0.001021154
2000-01-28,5.41,0.001040385
2000-02-04,5.50,0.001057692
2000-02-11,5.49,0.001055769
2000-02-18,5.55,0.001067308
2000-02-25,5.62,0.001080769
2000-03-03,5.62,0.001080769
2000-03-10,5.67,0.001090385
2000-03-17,5.71,0.001098077
2000-03-24,5.74,0.001103846
2000-03-31,5.71,0.001098077
2000-04-07,5.70,0.001096154
2000-04-14,5.67,0.001090385
2000-04-21,5.65,0.001086538
2000-04-28,5.62,0.001080769
2000-05-05,5.74,0.001103846
2000-05-12,5.94,0.001142308
2000-05-19,5.86,0.001126923
2000-05-26,5.73,0.001101923
2000-06-02,5.59,0.001075
2000-06-09,5.76,0.001107692
2000-06-16,5.68,0.001092308
2000-06-23,5.66,0.001088462
2000-06-30,5.67,0.001090385
2000-07-07,5.82,0.001119231
2000-07-14,5.96,0.001146154
2000-07-21,5.98,0.00115
2000-07-28,6.01,0.001155769
2000-08-04,6.05,0.001163462
2000-08-11,6.08,0.001169231
2000-08-18,6.09,0.001171154
2000-08-25,6.11,0.001175
2000-09-01,6.13,0.001178846
2000-09-08,6.02,0.001157692
2000-09-15,5.95,0.001144231
2000-09-22,5.98,0.00115
2000-09-29,6.03,0.001159615
2000-10-06,6.06,0.001165385
2000-10-13,6.03,0.001159615
2000-10-20,6.11,0.001175
2000-10-27,6.18,0.001188462
2000-11-03,6.19,0.001190385
2000-11-10,6.22,0.001196154
2000-11-17,6.18,0.001188462
2000-11-24,6.18,0.001188462
2000-12-01,6.08,0.001169231
2000-12-08,5.94,0.001142308
2000-12-15,5.89,0.001132692
2000-12-22,5.51,0.001059615
2000-12-29,5.66,0.001088462
2001-01-05,5.36,0.001030769
2001-01-12,5.13,0.000986538
2001-01-19,5.17,0.000994231
2001-01-26,5.11,0.000982692
2001-02-02,4.91,0.000944231
2001-02-09,4.94,0.00095
2001-02-16,4.93,0.000948077
2001-02-23,4.87,0.000936538
2001-03-02,4.72,0.000907692
2001-03-09,4.62,0.000888462
2001-03-16,4.47,0.000859615
2001-03-23,4.27,0.000821154
2001-03-30,4.22,0.000811538
2001-04-06,4.01,0.000771154
2001-04-13,3.90,0.00075
2001-04-20,3.87,0.000744231
2001-04-27,3.72,0.000715385
2001-05-04,3.78,0.000726923
2001-05-11,3.65,0.000701923
2001-05-18,3.54,0.000680769
2001-05-25,3.58,0.000688462
2001-06-01,3.59,0.000690385
2001-06-08,3.56,0.000684615
2001-06-15,3.48,0.000669231
2001-06-22,3.42,0.000657692
2001-06-29,3.47,0.000667308
2001-07-06,3.57,0.000686538
2001-07-13,3.54,0.000680769
2001-07-20,3.49,0.000671154
2001-07-27,3.48,0.000669231
2001-08-03,3.46,0.000665385
2001-08-10,3.41,0.000655769
2001-08-17,3.34,0.000642308
2001-08-24,3.33,0.000640385
2001-08-31,3.33,0.000640385
2001-09-07,3.29,0.000632692
2001-09-14,2.82,0.000542308
2001-09-21,2.30,0.000442308
2001-09-28,2.34,0.00045
2001-10-05,2.21,0.000425
2001-10-12,2.20,0.000423077
2001-10-19,2.17,0.000417308
2001-10-26,2.13,0.000409615
2001-11-02,2.01,0.000386538
2001-11-09,1.83,0.000351923
2001-11-16,1.86,0.000357692
2001-11-23,1.91,0.000367308
2001-11-30,1.84,0.000353846
2001-12-07,1.72,0.000330769
2001-12-14,1.66,0.000319231
2001-12-21,1.68,0.000323077
2001-12-28,1.70,0.000326923
2002-01-04,1.70,0.000326923
2002-01-11,1.63,0.000313462
2002-01-18,1.58,0.000303846
2002-01-25,1.68,0.000323077
2002-02-01,1.71,0.000328846
2002-02-08,1.72,0.000330769
2002-02-15,1.72,0.000330769
2002-02-22,1.73,0.000332692
2002-03-01,1.74,0.000334615
2002-03-08,1.76,0.000338462
2002-03-15,1.81,0.000348077
2002-03-22,1.81,0.000348077
2002-03-29,1.78,0.000342308
2002-04-05,1.75,0.000336538
2002-04-12,1.69,0.000325
2002-04-19,1.70,0.000326923
2002-04-26,1.70,0.000326923
2002-05-03,1.74,0.000334615
2002-05-10,1.73,0.000332692
2002-05-17,1.73,0.000332692
2002-05-24,1.71,0.000328846
2002-05-31,1.72,0.000330769
2002-06-07,1.72,0.000330769
2002-06-14,1.70,0.000326923
2002-06-21,1.69,0.000325
2002-06-28,1.68,0.000323077
2002-07-05,1.69,0.000325
2002-07-12,1.69,0.000325
2002-07-19,1.69,0.000325
2002-07-26,1.67,0.000321154
2002-08-02,1.66,0.000319231
2002-08-09,1.59,0.000305769
2002-08-16,1.61,0.000309615
2002-08-23,1.61,0.000309615
2002-08-30,1.65,0.000317308
2002-09-06,1.61,0.000309615
2002-09-13,1.66,0.000319231
2002-09-20,1.65,0.000317308
2002-09-27,1.62,0.000311538
2002-10-04,1.55,0.000298077
2002-10-11,1.56,0.0003
2002-10-18,1.64,0.000315385
2002-10-25,1.64,0.000315385
2002-11-01,1.47,0.000282692
2002-11-08,1.28,0.000246154
2002-11-15,1.20,0.000230769
2002-11-22,1.20,0.000230769
2002-11-29,1.21,0.000232692
2002-12-06,1.20,0.000230769
2002-12-13,1.19,0.000228846
2002-12-20,1.20,0.000230769
2002-12-27,1.16,0.000223077
2003-01-03,1.20,0.000230769
2003-01-10,1.18,0.000226923
2003-01-17,1.17,0.000225
2003-01-24,1.15,0.000221154
2003-01-31,1.16,0.000223077
2003-02-07,1.15,0.000221154
2003-02-14,1.16,0.000223077
2003-02-21,1.17,0.000225
2003-02-28,1.19,0.000228846
2003-03-07,1.15,0.000221154
2003-03-14,1.09,0.000209615
2003-03-21,1.14,0.000219231
2003-03-28,1.15,0.000221154
2003-04-04,1.10,0.000211538
2003-04-11,1.13,0.000217308
2003-04-18,1.16,0.000223077
2003-04-25,1.14,0.000219231
2003-05-02,1.11,0.000213462
2003-05-09,1.09,0.000209615
2003-05-16,1.05,0.000201923
2003-05-23,1.04,0.0002
2003-05-30,1.09,0.000209615
2003-06-06,1.05,0.000201923
2003-06-13,0.92,0.000176923
2003-06-20,0.84,0.000161538
2003-06-27,0.86,0.000165385
2003-07-04,0.87,0.000167308
2003-07-11,0.88,0.000169231
2003-07-18,0.89,0.000171154
2003-07-25,0.91,0.000175
2003-08-01,0.95,0.000182692
2003-08-08,0.94,0.000180769
2003-08-15,0.94,0.000180769
2003-08-22,0.95,0.000182692
2003-08-29,0.98,0.000188462
2003-09-05,0.95,0.000182692
2003-09-12,0.94,0.000180769
2003-09-19,0.93,0.000178846
2003-09-26,0.93,0.000178846
2003-10-03,0.93,0.000178846
2003-10-10,0.90,0.000173077
2003-10-17,0.91,0.000175
2003-10-24,0.93,0.000178846
2003-10-31,0.94,0.000180769
2003-11-07,0.94,0.000180769
2003-11-14,0.93,0.000178846
2003-11-21,0.93,0.000178846
2003-11-28,0.93,0.000178846
2003-12-05,0.92,0.000176923
2003-12-12,0.90,0.000173077
2003-12-19,0.88,0.000169231
2003-12-26,0.88,0.000169231
2004-01-02,0.91,0.000175
2004-01-09,0.88,0.000169231
2004-01-16,0.87,0.000167308
2004-01-23,0.87,0.000167308
2004-01-30,0.90,0.000173077
2004-02-06,0.92,0.000176923
2004-02-13,0.92,0.000176923
2004-02-20,0.92,0.000176923
2004-02-27,0.94,0.000180769
2004-03-05,0.94,0.000180769
2004-03-12,0.94,0.000180769
2004-03-19,0.93,0.000178846
2004-03-26,0.93,0.000178846
2004-04-02,0.93,0.000178846
2004-04-09,0.93,0.000178846
2004-04-16,0.93,0.000178846
2004-04-23,0.96,0.000184615
2004-04-30,0.96,0.000184615
2004-05-07,1.00,0.000192308
2004-05-14,1.02,0.000196154
2004-05-21,1.03,0.000198077
2004-05-28,1.06,0.000203846
2004-06-04,1.16,0.000223077
2004-06-11,1.25,0.000240385
2004-06-18,1.30,0.00025
2004-06-25,1.29,0.000248077
2004-07-02,1.30,0.00025
2004-07-09,1.28,0.000246154
2004-07-16,1.32,0.000253846
2004-07-23,1.34,0.000257692
2004-07-30,1.43,0.000275
2004-08-06,1.45,0.000278846
2004-08-13,1.44,0.000276923
2004-08-20,1.46,0.000280769
2004-08-27,1.52,0.000292308
2004-09-03,1.58,0.000303846
2004-09-10,1.63,0.000313462
2004-09-17,1.65,0.000317308
2004-09-24,1.69,0.000325
2004-10-01,1.69,0.000325
2004-10-08,1.68,0.000323077
2004-10-15,1.70,0.000326923
2004-10-22,1.80,0.000346154
2004-10-29,1.87,0.000359615
2004-11-05,1.95,0.000375
2004-11-12,2.04,0.000392308
2004-11-19,2.09,0.000401923
2004-11-26,2.15,0.000413462
2004-12-03,2.18,0.000419231
2004-12-10,2.21,0.000425
2004-12-17,2.18,0.000419231
2004-12-24,2.17,0.000417308
2004-12-31,2.20,0.000423077
2005-01-07,2.29,0.000440385
2005-01-14,2.31,0.000444231
2005-01-21,2.33,0.000448077
2005-01-28,2.38,0.000457692
2005-02-04,2.46,0.000473077
2005-02-11,2.48,0.000476923
2005-02-18,2.54,0.000488462
2005-02-25,2.65,0.000509615
2005-03-04,2.70,0.000519231
2005-03-11,2.70,0.000519231
2005-03-18,2.74,0.000526923
2005-03-25,2.80,0.000538462
2005-04-01,2.76,0.000530769
2005-04-08,2.73,0.000525
2005-04-15,2.72,0.000523077
2005-04-22,2.84,0.000546154
2005-04-29,2.85,0.000548077
2005-05-06,2.82,0.000542308
2005-05-13,2.82,0.000542308
2005-05-20,2.82,0.000542308
2005-05-27,2.89,0.000555769
